PLAYER_ID,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG_PCT,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG_PCT,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG_PCT,Left Corner 3_FGM,Left Corner 3_FGA,Left Corner 3_FG_PCT,Right Corner 3_FGM,Right Corner 3_FGA,Right Corner 3_FG_PCT,Above the Break 3_FGM,Above the Break 3_FGA,Above the Break 3_FG_PCT,Backcourt_FGM,Backcourt_FGA,Backcourt_FG_PCT,PLAYER_NAME,FGA,FG3A,FTA,PTS,USG_PCT,TS_PCT,EFG_PCT,OFF_RATING,FTA/FGA,PPS
1629636,1.7,2.8,0.608,1.9,3.5,0.527,1,2.3,0.438,0.2,0.6,0.395,0.2,0.5,0.366,2.4,5.9,0.405,0,0,0,Darius Garland,15.7,7.1,3.4,20.6,0.265,0.6,0.562,123.2,0.21656051,1.312101911
1630245,2.7,4.1,0.663,0.7,1.3,0.5,0,0.2,0.25,0.3,0.8,0.343,0.3,0.9,0.357,0.8,2.4,0.313,0,0,0,Ayo Dosunmu,9.8,4.1,1.7,12.3,0.163,0.585,0.561,110.1,0.173469388,1.255102041
1631107,1.3,1.9,0.685,0.6,1.3,0.433,0.2,0.4,0.389,0.5,0.8,0.541,0.4,1,0.419,0.9,2.8,0.308,0,0,0,Nikola Jović,8.2,4.6,1.9,10.7,0.178,0.595,0.56,109.6,0.231707317,1.304878049
202695,2.3,3.1,0.724,2.1,4.6,0.456,1.9,3.9,0.479,0.2,0.5,0.471,0.1,0.3,0.273,1.8,4.4,0.414,0,0,0,Kawhi Leonard,16.8,5.1,3.3,21.5,0.28,0.589,0.56,120.3,0.196428571,1.279761905
1641705,3.4,4.5,0.754,1.2,2.3,0.505,1.2,3.1,0.401,0.1,0.4,0.25,0.1,0.2,0.571,2.9,8,0.359,0,0.1,0,Victor Wembanyama,18.6,8.8,4.1,24.3,0.3,0.594,0.559,112.5,0.220430108,1.306451613
1628384,3.5,5.3,0.656,0.5,1.3,0.374,0.3,1.1,0.321,0.7,1.7,0.383,0.4,1.2,0.375,1.2,3.3,0.366,0,0,0,OG Anunoby,13.9,6.2,3.1,18,0.195,0.591,0.559,117.7,0.223021583,1.294964029
1630557,1.5,2.2,0.684,0.7,1.5,0.472,0,0.2,0.154,0.2,0.5,0.393,0.2,0.5,0.345,1.6,4.4,0.369,0,0.1,0,Corey Kispert,9.3,5.4,1.4,11.6,0.169,0.584,0.558,108.7,0.150537634,1.247311828
202685,2.2,3.2,0.681,1.4,2.7,0.518,0.6,1.4,0.42,0,0,0,0,0,0,0.1,0.4,0.235,0,0,0,Jonas Valančiūnas,7.7,0.5,2,10.4,0.222,0.602,0.557,109.2,0.25974026,1.350649351
1630559,1.9,2.8,0.692,1.5,3.3,0.465,0.4,0.9,0.406,0.2,0.5,0.385,0.2,0.4,0.567,2.3,6.2,0.369,0,0.1,0,Austin Reaves,14.2,7.3,5,20.2,0.23,0.616,0.556,117.1,0.352112676,1.422535211
1627747,2,3,0.646,0.6,1.4,0.444,0.1,0.5,0.267,0.3,0.7,0.435,0.3,0.7,0.409,1.1,3,0.351,0,0,0,Caris LeVert,9.4,4.4,2.4,12.1,0.191,0.582,0.556,120.5,0.255319149,1.287234043
